epoch,bonangbarung_separation_loss,bonangpenerus_separation_loss,class_bonangbarung_acc,class_bonangbarung_loss,class_bonangpenerus_acc,class_bonangpenerus_loss,class_demung_acc,class_demung_loss,class_gong_acc,class_gong_loss,class_kendhang_acc,class_kendhang_loss,class_peking_acc,class_peking_loss,class_saron_acc,class_saron_loss,class_slenthem_acc,class_slenthem_loss,demung_separation_loss,gong_separation_loss,kendhang_separation_loss,loss,peking_separation_loss,saron_separation_loss,slenthem_separation_loss,val_bonangbarung_separation_loss,val_bonangpenerus_separation_loss,val_class_bonangbarung_acc,val_class_bonangbarung_loss,val_class_bonangpenerus_acc,val_class_bonangpenerus_loss,val_class_demung_acc,val_class_demung_loss,val_class_gong_acc,val_class_gong_loss,val_class_kendhang_acc,val_class_kendhang_loss,val_class_peking_acc,val_class_peking_loss,val_class_saron_acc,val_class_saron_loss,val_class_slenthem_acc,val_class_slenthem_loss,val_demung_separation_loss,val_gong_separation_loss,val_kendhang_separation_loss,val_loss,val_peking_separation_loss,val_saron_separation_loss,val_slenthem_separation_loss
10,0.017296175,0.021214599,1.0,0.001450469,1.0,0.0030261825,0.99774605,0.014480048,1.0,0.0021647436,1.0,0.0019779436,0.99774605,0.019734861,1.0,0.0019653293,1.0,0.0051210374,0.2273666,0.01763297,0.021610236,0.6100087814273734,0.21526128,0.0208046,0.018559882,0.6060473,0.5454118,1.0,2.0667097e-11,1.0,6.13266e-08,1.0,0.012273276,1.0,2.744746e-11,1.0,4.84984e-07,1.0,0.01630255,1.0,8.882678e-06,1.0,9.359747e-06,0.30054677,0.6116508,0.4521689,3.331793922561783,0.26033655,0.24930242,0.27229694
11,0.013700911,0.016712347,1.0,0.0007173419,1.0,0.002215368,0.99774605,0.011773367,1.0,0.001395379,1.0,0.0012331766,0.99774605,0.025363673,1.0,0.0011741696,1.0,0.0034705643,0.22016698,0.014145285,0.01688407,0.569728383616699,0.2089975,0.01649086,0.015309883,0.010490544,0.021800296,1.0,0.0005356572,1.0,0.0015572932,1.0,0.002147539,1.0,0.0010752691,1.0,0.00081396906,1.0,0.0013317199,1.0,0.0006997479,1.0,0.0027509527,0.2592623,0.010788936,0.028121635,0.6041231090958054,0.22086187,0.02884045,0.011698759
12,0.012700369,0.015577918,1.0,0.00074879295,1.0,0.0020649778,0.99774605,0.012444395,1.0,0.0011866875,1.0,0.0012098212,0.99774605,0.025915554,1.0,0.0010204804,1.0,0.00252279,0.2125303,0.013212743,0.015711332,0.5520379443664823,0.20459147,0.0154565945,0.014687105,0.009094221,0.011984835,1.0,0.0008661216,1.0,0.001868668,1.0,0.017236488,1.0,0.0014763434,1.0,0.001107181,1.0,0.008106398,1.0,0.000873203,1.0,0.0036271168,0.2471104,0.00913733,0.012024365,0.5773522656959098,0.23065417,0.01241749,0.010208791
13,0.011925498,0.014546008,1.0,0.00076016324,1.0,0.0021143833,0.99849737,0.0055634226,1.0,0.0011462255,1.0,0.0013364177,0.99774605,0.021628909,1.0,0.0009880222,1.0,0.0022256984,0.21149945,0.0122376215,0.014709814,0.5348532752467671,0.20500165,0.014463068,0.013995673,0.008415131,0.01091606,1.0,0.0009135238,1.0,0.0021087346,1.0,0.016528752,1.0,0.0012663801,1.0,0.0014715226,1.0,0.012884003,1.0,0.0010008971,1.0,0.0028539312,0.24669218,0.008783676,0.010891968,0.5736920362836248,0.22765383,0.011078416,0.009920196
14,0.011424293,0.014066804,1.0,0.00065063353,1.0,0.0016541195,1.0,0.002412326,1.0,0.00097545347,1.0,0.0010617417,0.99774605,0.019229291,1.0,0.00074155245,1.0,0.0019132282,0.21012811,0.01177871,0.014202901,0.522397196892954,0.20461242,0.014019425,0.013522049,0.008878149,0.01095553,1.0,0.00037193616,1.0,0.0014819659,0.993994,0.021333383,1.0,0.0006601416,1.0,0.0076941215,1.0,0.0038824796,1.0,0.010127315,1.0,0.011932205,0.23782963,0.009154454,0.01078237,0.5758283295788923,0.21998249,0.010859392,0.010274599
15,0.010968849,0.013405455,1.0,0.0006238507,1.0,0.0015702232,0.99849737,0.005524041,1.0,0.0010260483,1.0,0.0013322899,0.99774605,0.016254628,1.0,0.0010200895,1.0,0.0022099821,0.20733322,0.0112920925,0.01354971,0.5153248280533089,0.20267911,0.013349841,0.012506384,0.008521848,0.010183305,1.0,0.00037591904,1.0,0.0015935805,0.990991,0.013887551,1.0,0.00061026204,1.0,0.0011289396,1.0,0.0007571261,1.0,0.00077214465,1.0,0.0017898208,0.23932149,0.008820109,0.010274919,0.5319212682254322,0.2149606,0.010226741,0.009816186
16,0.011378178,0.013731825,1.0,0.0006374384,1.0,0.001426923,0.99849737,0.006630512,1.0,0.0009547703,1.0,0.001072443,0.99774605,0.028571382,1.0,0.0006487255,1.0,0.0023005472,0.21195485,0.0118375,0.013923166,0.5334438200197571,0.20258886,0.01357493,0.012461574,0.009748786,0.011680278,1.0,0.00019407705,1.0,0.00089736865,0.975976,0.029186046,1.0,0.00021636611,1.0,0.0005661776,1.0,0.0027786281,1.0,0.00032835692,1.0,0.0013084557,0.26097605,0.010493399,0.011592614,0.5884872859304732,0.2261187,0.011637875,0.010561886
17,0.009941804,0.012169488,1.0,0.0006616181,1.0,0.0016025774,0.9992487,0.0019379358,1.0,0.0010764701,1.0,0.0011220572,0.99774605,0.01906732,1.0,0.00090283307,1.0,0.0023645046,0.2090716,0.010372688,0.012473318,0.5071176010177693,0.20096706,0.012132528,0.011151537,0.008197075,0.010302656,1.0,0.00032129162,1.0,0.0010006042,0.96997,0.077905685,1.0,0.0004968085,1.0,0.0006648463,1.0,0.012830275,1.0,0.00046966822,1.0,0.0015044985,0.24161877,0.00880058,0.010216375,0.6052237695401853,0.21650745,0.010272905,0.009117535
18,0.009326747,0.011250107,1.0,0.0006984744,1.0,0.0017588877,1.0,0.0013339362,1.0,0.0011267317,1.0,0.001314226,0.99774605,0.014948135,1.0,0.0010175285,1.0,0.0021568693,0.20623909,0.00968723,0.011505207,0.497179648600334,0.20390959,0.011247138,0.010670852,0.007175656,0.00849451,1.0,0.00042438853,1.0,0.0017144969,0.975976,0.036267843,1.0,0.00043124217,1.0,0.0014628741,1.0,0.0034337896,1.0,0.0009967485,1.0,0.0020491027,0.24180283,0.008059468,0.008446533,0.5531571194216296,0.21647416,0.0084968,0.007955655
19,0.009006913,0.010849914,1.0,0.0006094771,1.0,0.0014776634,1.0,0.0010583356,1.0,0.00089490385,1.0,0.0011661616,0.99774605,0.012330502,1.0,0.0008222787,1.0,0.0017957948,0.2042829,0.009531462,0.010963422,0.4859179718703994,0.20001556,0.010842629,0.010415721,0.006389595,0.008615234,1.0,0.00093208766,1.0,0.0012671705,1.0,0.010323189,1.0,0.0014286354,1.0,0.0009816547,1.0,0.0020773988,1.0,0.00068483676,1.0,0.0019492569,0.23814446,0.006823026,0.0085830605,0.5216576124096776,0.21533526,0.008629854,0.007866066
