epoch,bonangbarung_separation_loss,bonangpenerus_separation_loss,class_bonangbarung_accuracy,class_bonangbarung_loss,class_bonangpenerus_accuracy,class_bonangpenerus_loss,class_demung_accuracy,class_demung_loss,class_gong_accuracy,class_gong_loss,class_kendhang_accuracy,class_kendhang_loss,class_peking_accuracy,class_peking_loss,class_saron_accuracy,class_saron_loss,class_slenthem_accuracy,class_slenthem_loss,demung_separation_loss,gong_separation_loss,kendhang_separation_loss,loss,peking_separation_loss,saron_separation_loss,slenthem_separation_loss,val_bonangbarung_separation_loss,val_bonangpenerus_separation_loss,val_class_bonangbarung_accuracy,val_class_bonangbarung_loss,val_class_bonangpenerus_accuracy,val_class_bonangpenerus_loss,val_class_demung_accuracy,val_class_demung_loss,val_class_gong_accuracy,val_class_gong_loss,val_class_kendhang_accuracy,val_class_kendhang_loss,val_class_peking_accuracy,val_class_peking_loss,val_class_saron_accuracy,val_class_saron_loss,val_class_slenthem_accuracy,val_class_slenthem_loss,val_demung_separation_loss,val_gong_separation_loss,val_kendhang_separation_loss,val_loss,val_peking_separation_loss,val_saron_separation_loss,val_slenthem_separation_loss
0,0.09015646576881409,0.09263598918914795,0.9954954981803894,0.039723675698041916,0.9947447180747986,0.03498302027583122,0.9917417168617249,0.08611365407705307,0.9992492198944092,0.031162410974502563,0.9872372150421143,0.051019176840782166,0.9924924969673157,0.08598694950342178,0.9932432174682617,0.043617743998765945,0.9857357144355774,0.06445715576410294,6.081402778625488,0.09146128594875336,0.09534844756126404,13.856791496276855,6.746726989746094,0.10739223659038544,0.11460638046264648,0.0006224988028407097,0.00820240005850792,1.0,0.4789994955062866,1.0,0.023248817771673203,0.9969969987869263,0.04100308567285538,1.0,0.05996767804026604,1.0,0.048848073929548264,0.9969969987869263,0.035351041704416275,1.0,0.031231367960572243,1.0,0.6020306944847107,1.8763164281845093,0.004842203576117754,0.009935813955962658,5.2030134201049805,1.971310019493103,0.01080561988055706,0.0002985445025842637
1,0.02513580583035946,0.02128552831709385,1.0,0.007760216016322374,1.0,0.006233826745301485,0.9977477192878723,0.05745362490415573,1.0,0.0065378062427043915,1.0,0.010668168775737286,0.9977477192878723,0.045065220445394516,1.0,0.010613632388412952,1.0,0.013011378236114979,5.961967468261719,0.0238003209233284,0.027770807966589928,12.907958030700684,6.63055419921875,0.028277289122343063,0.031822655349969864,0.0076212203130126,0.02349349670112133,1.0,0.01685970462858677,1.0,0.0001847622188506648,0.9969969987869263,0.18764536082744598,1.0,6.909853254910558e-05,1.0,0.05290120840072632,0.9969969987869263,0.12040111422538757,1.0,0.45944011211395264,1.0,0.0010241925483569503,1.9502253532409668,0.030631836503744125,0.008487490005791187,4.881921291351318,1.9823397397994995,0.000754505570512265,0.03984273597598076
2,0.034446947276592255,0.018646905198693275,1.0,0.006336598191410303,1.0,0.004882502369582653,0.9977477192878723,0.06873229891061783,1.0,0.007300179451704025,1.0,0.007865797728300095,0.9977477192878723,0.06592191010713577,1.0,0.008507432416081429,1.0,0.009975831024348736,5.855776309967041,0.019067177549004555,0.0234457366168499,12.703413963317871,6.523749828338623,0.021809926256537437,0.026952525600790977,0.03901027888059616,0.03172934427857399,1.0,1.8091557649313472e-05,1.0,9.178266736853402e-06,0.9969969987869263,0.14581303298473358,1.0,0.02560584619641304,1.0,3.1941861379891634e-05,0.9969969987869263,0.059520505368709564,1.0,0.01563883200287819,1.0,0.07802840322256088,1.9056020975112915,0.004032221157103777,0.048149630427360535,4.212582111358643,1.8429714441299438,0.010264297015964985,0.006157549098134041
3,0.023318374529480934,0.015825754031538963,1.0,0.008496067486703396,1.0,0.004887632559984922,0.9984984993934631,0.01594538241624832,1.0,0.006731335539370775,1.0,0.009382694028317928,0.9977477192878723,0.047397732734680176,1.0,0.007414281368255615,1.0,0.00966566801071167,5.897319793701172,0.020118312910199165,0.023779811337590218,12.680408477783203,6.544973850250244,0.01856180466711521,0.02658664435148239,0.008944300934672356,0.08276477456092834,1.0,0.41197365522384644,1.0,2.224525097460628e-08,0.9969969987869263,0.154028981924057,1.0,9.70259520727268e-07,1.0,4.786327917827293e-05,0.8258258104324341,0.4294871985912323,1.0,0.023405397310853004,1.0,0.0009466464980505407,1.91825270652771,0.03758671507239342,0.041683368384838104,5.04325008392334,1.8987170457839966,0.010038590058684349,0.025371858850121498
4,0.023670144379138947,0.020500103011727333,1.0,0.00549909844994545,1.0,0.0059251985512673855,0.9917417168617249,0.052922572940588,1.0,0.004958900157362223,1.0,0.011117389425635338,0.9977477192878723,0.033962786197662354,1.0,0.004574683029204607,1.0,0.007751293946057558,5.872827529907227,0.017432186752557755,0.023658860474824905,12.687532424926758,6.561872482299805,0.016206292435526848,0.024650130420923233,0.006005642004311085,0.04624151438474655,1.0,0.23677626252174377,1.0,0.0001534477632958442,0.9969969987869263,0.035095516592264175,1.0,0.0038344308268278837,1.0,0.0010499065974727273,0.9909909963607788,0.13198800384998322,1.0,3.142072557693609e-08,1.0,0.00552231352776289,1.834048867225647,0.06299815326929092,0.03234836831688881,4.504093647003174,1.9547256231307983,0.13841913640499115,0.014886230230331421
5,0.013822698965668678,0.015575822442770004,1.0,0.004664994776248932,1.0,0.00209808605723083,0.9977477192878723,0.026842515915632248,1.0,0.0033962661400437355,1.0,0.006474916823208332,0.9977477192878723,0.016689306125044823,1.0,0.004481625743210316,1.0,0.005616213660687208,6.0312089920043945,0.012998919934034348,0.02173505164682865,12.892997741699219,6.689454555511475,0.017442384734749794,0.020495755597949028,0.011043407022953033,0.02219778299331665,1.0,0.0015148507663980126,1.0,1.8428028852213174e-05,0.9969969987869263,0.019428113475441933,1.0,0.0004625783476512879,1.0,0.001231829752214253,0.9969969987869263,0.09591741859912872,1.0,0.0006195204914547503,1.0,0.000431413616752252,1.846659541130066,0.011991279199719429,0.016495300456881523,3.9726712703704834,1.8964735269546509,0.01867692731320858,0.02950887195765972
6,0.012206488288939,0.008537428453564644,1.0,0.004269998520612717,1.0,0.0028325121384114027,0.9977477192878723,0.013213352300226688,1.0,0.002585481619462371,1.0,0.005806054919958115,0.9984984993934631,0.03273099288344383,1.0,0.0044197156094014645,1.0,0.00643055560067296,5.957763195037842,0.011188044212758541,0.014437473379075527,12.727190017700195,6.61874532699585,0.01692674309015274,0.015102019533514977,0.03280588611960411,0.02503935806453228,1.0,0.0016069039702415466,1.0,1.3813462828693446e-05,0.9969969987869263,0.03733128681778908,1.0,0.004347152076661587,1.0,0.10179015249013901,0.9849849939346313,0.04045063629746437,1.0,0.04410354420542717,1.0,0.0007661109557375312,1.9400743246078491,0.011744610033929348,0.006926591508090496,4.185725212097168,1.8625845909118652,0.005562590900808573,0.07057825475931168
7,0.009333345107734203,0.006993224378675222,1.0,0.0030797289218753576,1.0,0.001803712104447186,1.0,0.001668569166213274,1.0,0.0026514444034546614,1.0,0.003667200682684779,0.9992492198944092,0.007350558415055275,1.0,0.004162931814789772,1.0,0.005656087771058083,5.860228538513184,0.007110801059752703,0.011487191542983055,12.50790786743164,6.559192657470703,0.00971251167356968,0.013805107213556767,0.004393547307699919,0.0009156905580312014,1.0,0.16425952315330505,1.0,0.3957391679286957,0.06306306272745132,30.220359802246094,1.0,2.327715264982544e-05,1.0,0.16759926080703735,0.06306306272745132,31.930898666381836,1.0,0.11214181035757065,1.0,0.14777974784374237,21.997989654541016,0.01564391888678074,0.003978021442890167,98.55440521240234,13.383283615112305,0.003868035739287734,0.005543255712836981
8,0.013362431898713112,0.010662349872291088,1.0,0.00474862614646554,1.0,0.0021895004902035,0.9992492198944092,0.007498322520405054,1.0,0.004472526255995035,1.0,0.00427450705319643,0.9992492198944092,0.008057608269155025,1.0,0.004143009427934885,1.0,0.005022317171096802,5.862461566925049,0.012301519513130188,0.012693628668785095,12.519678115844727,6.542130947113037,0.010964827612042427,0.014693116769194603,0.0015634873416274786,0.00046816468238830566,1.0,0.2449749857187271,1.0,0.39910000562667847,0.9609609842300415,0.14717745780944824,1.0,0.10278736054897308,1.0,0.13970965147018433,0.9819819927215576,0.02564140409231186,1.0,0.060081448405981064,1.0,0.13696974515914917,2.118741035461426,0.005742577835917473,0.005784935783594847,5.491818904876709,2.0898520946502686,0.007229301147162914,0.005994611885398626
9,0.008862948976457119,0.007894186303019524,1.0,0.004824343603104353,1.0,0.003423910355195403,1.0,0.0010624564019963145,1.0,0.003016070229932666,1.0,0.004292512312531471,0.9984984993934631,0.011694262735545635,1.0,0.0036374409683048725,1.0,0.005012041423469782,5.780038833618164,0.010916704311966896,0.010814829729497433,12.304970741271973,6.4277167320251465,0.009622517973184586,0.012141033075749874,0.0014666877686977386,0.0006462696474045515,1.0,0.19163519144058228,1.0,0.277174174785614,0.9969969987869263,0.018104668706655502,1.0,0.02159269154071808,1.0,0.08030097186565399,0.954954981803894,0.15619663894176483,1.0,0.0227653831243515,1.0,0.007049402222037315,1.8075405359268188,0.004483901429921389,0.0054952953942120075,4.4703264236450195,1.8604133129119873,0.00708072679117322,0.00838075764477253
